tau_cmd_surge,tau_cmd_sway,tau_cmd_yaw,alpha_VSP2,alpha_VSP1,u_BT,u_VSP1,u_VSP2,L2,PosXLeft,PosYLeft,R2,eta_hat_x,eta_hat_y,eta_hat_psi,eta_m_psi,eta_m_x,eta_m_y,nu_hat_x,nu_hat_y,nu_hat_psi,b_hat_x,b_hat_y,b_hat_psi
-0.123692,0.000000,0.000000,3.141593,3.141593,0.000000,0.060044,0.060044,-1.000000,0.000000,0.216498,-1.000000,-24.530667,30.633616,-9.510999,-2.025631,0.560615,-1.511649,0.243773,-0.054889,-0.000937,0.000000,0.000000,0.000000
-0.216498,0.000000,0.000000,3.141593,3.141593,0.000000,0.105096,0.105096,-1.000000,0.000000,0.350505,-1.000000,-24.533050,30.634373,-9.511008,-2.025631,0.560615,-1.511649,0.243595,-0.054858,-0.000936,0.000000,0.000000,0.000000
-0.350505,0.000000,0.000000,3.141593,3.141593,0.000000,0.170148,0.170148,-1.000000,0.000000,0.350505,-1.000000,-24.535431,30.635130,-9.511017,-2.025631,0.560615,-1.511649,0.243360,-0.054827,-0.000935,0.000000,0.000000,0.000000
-0.350505,0.000000,0.000000,3.141593,3.141593,0.000000,0.170148,0.170148,-1.000000,0.000000,0.577319,-1.000000,-24.537811,30.635886,-9.511027,-2.025631,0.560615,-1.511649,0.243040,-0.054797,-0.000935,0.000000,0.000000,0.000000
-0.577319,0.000000,0.000000,3.141593,3.141593,0.000000,0.280252,0.280252,-1.000000,0.000000,0.577319,-1.000000,-24.540188,30.636642,-9.511036,-2.025631,0.560615,-1.511649,0.242721,-0.054766,-0.000934,0.000000,0.000000,0.000000
-0.577319,0.000000,0.000000,3.141593,3.141593,0.000000,0.280252,0.280252,-1.000000,0.000000,0.835047,-1.000000,-24.542562,30.637398,-9.511046,-2.025631,0.560615,-1.511649,0.242260,-0.054735,-0.000934,0.000000,0.000000,0.000000
-0.835047,0.000000,0.000000,3.141593,3.141593,0.000000,0.405363,0.405363,-1.000000,0.010285,0.835047,-1.000000,-24.544933,30.638152,-9.511055,-2.025631,0.560615,-1.511649,0.241799,-0.054704,-0.000933,0.000000,0.000000,0.000000
-0.835047,0.010285,0.000000,3.135942,3.135941,0.003710,0.405353,0.405386,-1.000000,0.010285,1.000000,-1.000000,-24.547300,30.638906,-9.511064,-2.025631,0.560615,-1.511649,0.241177,-0.054674,-0.000933,0.000000,0.000000,0.000000
-1.000000,0.010285,0.000000,3.136874,3.136873,0.003710,0.485426,0.485459,-1.000000,0.010285,1.000000,-1.000000,-24.549661,30.639660,-9.511074,-2.025631,0.560615,-1.511649,0.240555,-0.054639,-0.000933,0.000000,0.000000,0.000000
-1.000000,0.010285,0.000000,3.136874,3.136873,0.003710,0.485426,0.485459,-1.000000,0.061831,1.000000,-1.000000,-24.552017,30.640412,-9.511083,-2.025631,0.560615,-1.511649,0.239831,-0.054604,-0.000933,0.000000,0.000000,0.000000
