tau_cmd_surge,tau_cmd_sway,tau_cmd_yaw,alpha_VSP2,alpha_VSP1,u_BT,u_VSP1,u_VSP2,L2,PosXLeft,PosYLeft,R2,eta_hat_x,eta_hat_y,eta_hat_psi,eta_m_psi,eta_m_x,eta_m_y,nu_hat_x,nu_hat_y,nu_hat_psi,b_hat_x,b_hat_y,b_hat_psi
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-7.950204,21.093533,-10.886893,-0.274049,0.826185,-0.067140,0.034678,0.221476,-0.000114,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-7.952444,21.093638,-10.886895,-0.274049,0.826185,-0.067140,0.034663,0.221355,-0.000091,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-7.954684,21.093742,-10.886896,-0.274049,0.826185,-0.067140,0.034649,0.221235,-0.000067,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-7.956922,21.093847,-10.886897,-0.272015,0.828198,-0.069380,0.034635,0.221115,-0.000044,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-7.959159,21.093951,-10.886897,-0.272015,0.828198,-0.069380,0.034620,0.220994,-0.000020,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-0.051576,0.000000,-1.000000,-7.961394,21.094056,-10.886898,-0.272015,0.828198,-0.069380,0.034606,0.220874,0.000003,0.000000,0.000000,0.000000
-0.000000,-0.051576,0.000000,-1.563496,-1.578097,-0.018607,0.011489,0.011489,-1.000000,-0.051576,0.000000,-1.000000,-7.963629,21.094160,-10.886898,-0.272015,0.828198,-0.069380,0.034592,0.220754,0.000025,0.000000,0.000000,0.000000
-0.000000,-0.051576,0.000000,-1.563496,-1.578097,-0.018607,0.011489,0.011489,-1.000000,-0.113407,0.000000,-1.000000,-7.965862,21.094264,-10.886898,-0.272015,0.828198,-0.069380,0.034578,0.220612,0.000052,0.000000,0.000000,0.000000
-0.000000,-0.113407,0.000000,-1.563496,-1.578097,-0.040913,0.025261,0.025261,-1.000000,-0.206214,0.000000,-1.000000,-7.968094,21.094369,-10.886898,-0.270003,0.830167,-0.071570,0.034563,0.220471,0.000079,0.000000,0.000000,0.000000
-0.000000,-0.206214,0.000000,-1.563496,-1.578097,-0.074395,0.045934,0.045934,-1.000000,-0.206214,0.000000,-1.000000,-7.970325,21.094473,-10.886897,-0.270003,0.830167,-0.071570,0.034549,0.220303,0.000110,0.000000,0.000000,0.000000
