tau_cmd_surge,tau_cmd_sway,tau_cmd_yaw,alpha_VSP2,alpha_VSP1,u_BT,u_VSP1,u_VSP2,L2,PosXLeft,PosYLeft,R2,eta_hat_x,eta_hat_y,eta_hat_psi,eta_m_psi,eta_m_x,eta_m_y,nu_hat_x,nu_hat_y,nu_hat_psi,b_hat_x,b_hat_y,b_hat_psi
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-8.608353,26.747801,-9.486037,3.075704,3.169428,-1.074105,0.198584,-0.102758,-0.010930,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-8.610273,26.748949,-9.486147,3.075704,3.169428,-1.074105,0.198502,-0.102691,-0.010868,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-8.612192,26.750096,-9.486256,3.075704,3.169428,-1.074105,0.198420,-0.102624,-0.010807,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-8.614111,26.751243,-9.486365,3.075704,3.169428,-1.074105,0.198338,-0.102557,-0.010746,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-8.616028,26.752389,-9.486473,3.077044,3.170200,-1.072816,0.198257,-0.102490,-0.010685,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-8.617945,26.753535,-9.486581,3.077044,3.170200,-1.072816,0.198175,-0.102424,-0.010625,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-8.619860,26.754680,-9.486687,3.077044,3.170200,-1.072816,0.198093,-0.102357,-0.010565,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-8.621775,26.755825,-9.486794,3.077044,3.170200,-1.072816,0.198011,-0.102290,-0.010505,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-8.623689,26.756969,-9.486899,3.077044,3.170200,-1.072816,0.197929,-0.102224,-0.010446,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-8.625602,26.758112,-9.487004,3.078295,3.171016,-1.071246,0.197848,-0.102158,-0.010387,0.000000,0.000000,0.000000
