tau_cmd_surge,tau_cmd_sway,tau_cmd_yaw,alpha_VSP2,alpha_VSP1,u_BT,u_VSP1,u_VSP2,L2,PosXLeft,PosYLeft,R2,eta_hat_x,eta_hat_y,eta_hat_psi,eta_m_psi,eta_m_x,eta_m_y,nu_hat_x,nu_hat_y,nu_hat_psi,b_hat_x,b_hat_y,b_hat_psi
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.938946,25.705760,-10.450021,1.595000,-2.245229,0.046283,-0.094795,0.036359,-0.094010,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.938763,25.704762,-10.450967,1.595000,-2.245229,0.046283,-0.094756,0.036436,-0.093382,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.938582,25.703763,-10.451907,1.595000,-2.245229,0.046283,-0.094717,0.036512,-0.092758,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.938403,25.702763,-10.452841,1.595000,-2.245229,0.046283,-0.094678,0.036588,-0.092139,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.938225,25.701764,-10.453769,1.595000,-2.245229,0.046283,-0.094639,0.036663,-0.091524,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.938050,25.700764,-10.454690,1.595000,-2.245229,0.046283,-0.094600,0.036737,-0.090913,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.937876,25.699764,-10.455605,1.595000,-2.245229,0.046283,-0.094561,0.036810,-0.090305,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.937704,25.698764,-10.456515,1.595000,-2.245229,0.046283,-0.094522,0.036883,-0.089702,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.937533,25.697764,-10.457418,1.595000,-2.245229,0.046283,-0.094483,0.036955,-0.089103,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.937365,25.696763,-10.458315,1.595000,-2.245229,0.046283,-0.094444,0.037027,-0.088508,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-1.000000,-10.937198,25.695763,-10.459206,1.595000,-2.245229,0.046283,-0.094405,0.037098,-0.087917,0.000000,0.000000,0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-0.113407,0.000000,-1.000000,-10.937032,25.694762,-10.460091,1.595000,-2.245229,0.046283,-0.094366,0.037168,-0.087330,0.000000,0.000000,0.000000
-0.000000,-0.113407,0.000000,-1.563496,-1.578097,-0.040913,0.025261,0.025261,-1.000000,-0.113407,0.000000,-1.000000,-10.936869,25.693761,-10.460970,1.595000,-2.245229,0.046283,-0.094327,0.037238,-0.086746,0.000000,0.000000,0.000000
-0.000000,-0.113407,0.000000,-1.563496,-1.578097,-0.040913,0.025261,0.025261,-1.000000,-0.391766,0.000000,-1.000000,-10.936707,25.692760,-10.461843,1.595000,-2.245229,0.046283,-0.094288,0.037259,-0.086158,0.000000,0.000000,0.000000
-0.000000,-0.391766,0.000000,-1.563496,-1.578097,-0.141336,0.087266,0.087266,-1.000000,-0.391766,0.000000,-1.000000,-10.936547,25.691758,-10.462711,1.595000,-2.245229,0.046283,-0.094249,0.037280,-0.085573,0.000000,0.000000,0.000000
-0.000000,-0.391766,0.000000,-1.563496,-1.578097,-0.141336,0.087266,0.087266,-1.000000,-0.680441,0.000000,-1.000000,-10.936388,25.690757,-10.463572,1.595000,-2.245229,0.046283,-0.094210,0.037184,-0.084970,0.000000,0.000000,0.000000
-0.000000,-0.680441,0.000000,-1.563496,-1.578097,-0.245479,0.151568,0.151568,-1.000000,-0.680441,0.000000,-1.000000,-10.936230,25.689756,-10.464428,1.595000,-2.245229,0.046283,-0.094171,0.037087,-0.084371,0.000000,0.000000,0.000000
-0.000000,-0.680441,0.000000,-1.563496,-1.578097,-0.245479,0.151568,0.151568,-1.000000,-0.948485,0.000000,-1.000000,-10.936073,25.688755,-10.465278,1.595000,-2.245229,0.046283,-0.094132,0.036869,-0.083753,0.000000,0.000000,0.000000
-0.000000,-0.948485,0.000000,-1.563496,-1.578097,-0.342180,0.211275,0.211275,-1.000000,-1.000000,0.000000,-1.000000,-10.935916,25.687755,-10.466121,1.595000,-2.245229,0.046283,-0.094093,0.036650,-0.083139,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.935758,25.686757,-10.466959,1.595000,-2.245229,0.046283,-0.094055,0.036319,-0.082508,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.935599,25.685760,-10.467790,1.595000,-2.245229,0.046283,-0.094016,0.035965,-0.081877,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.935438,25.684764,-10.468615,1.595000,-2.245229,0.046283,-0.093977,0.035611,-0.081250,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.935275,25.683771,-10.469434,1.595000,-2.245229,0.046283,-0.093938,0.035257,-0.080628,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.935110,25.682780,-10.470247,1.595000,-2.245229,0.046283,-0.093900,0.034902,-0.080009,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.934943,25.681790,-10.471053,1.595000,-2.245229,0.046283,-0.093861,0.034547,-0.079395,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.934774,25.680803,-10.471853,1.595000,-2.245229,0.046283,-0.093822,0.034191,-0.078784,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.934603,25.679817,-10.472647,1.595000,-2.245229,0.046283,-0.093783,0.033835,-0.078178,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.934430,25.678834,-10.473435,1.595000,-2.245229,0.046283,-0.093745,0.033478,-0.077576,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.934255,25.677852,-10.474217,1.595000,-2.245229,0.046283,-0.093706,0.033121,-0.076978,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.934078,25.676873,-10.474992,1.595000,-2.245229,0.046283,-0.093667,0.032764,-0.076384,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.933898,25.675895,-10.475762,1.595000,-2.245229,0.046283,-0.093629,0.032406,-0.075794,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.933717,25.674920,-10.476526,1.595000,-2.245229,0.046283,-0.093590,0.032048,-0.075208,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.933533,25.673946,-10.477284,1.595000,-2.245229,0.046283,-0.093551,0.031689,-0.074626,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.933347,25.672975,-10.478036,1.595000,-2.245229,0.046283,-0.093513,0.031330,-0.074047,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.933159,25.672005,-10.478782,1.595000,-2.245229,0.046283,-0.093474,0.030971,-0.073473,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.932968,25.671037,-10.479523,1.595000,-2.245229,0.046283,-0.093436,0.030611,-0.072902,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.932776,25.670072,-10.480257,1.595000,-2.245229,0.046283,-0.093397,0.030251,-0.072336,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.932581,25.669108,-10.480986,1.595000,-2.245229,0.046283,-0.093358,0.029890,-0.071773,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.932384,25.668146,-10.481710,1.595000,-2.245229,0.046283,-0.093320,0.029529,-0.071213,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.932184,25.667186,-10.482428,1.595000,-2.245229,0.046283,-0.093281,0.029168,-0.070658,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.931983,25.666229,-10.483140,1.595000,-2.245229,0.046283,-0.093243,0.028806,-0.070106,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.931779,25.665273,-10.483846,1.595000,-2.245229,0.046283,-0.093204,0.028444,-0.069558,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.931573,25.664319,-10.484547,1.595000,-2.245229,0.046283,-0.093166,0.028081,-0.069014,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.931365,25.663367,-10.485243,1.595000,-2.245229,0.046283,-0.093128,0.027718,-0.068473,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.931154,25.662417,-10.485933,1.595000,-2.245229,0.046283,-0.093089,0.027355,-0.067936,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.930941,25.661469,-10.486618,1.595000,-2.245229,0.046283,-0.093051,0.026992,-0.067403,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.930725,25.660523,-10.487297,1.595000,-2.245229,0.046283,-0.093012,0.026628,-0.066873,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.930508,25.659579,-10.487971,1.595000,-2.245229,0.046283,-0.092974,0.026263,-0.066347,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.930288,25.658637,-10.488640,1.595000,-2.245229,0.046283,-0.092936,0.025899,-0.065824,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.930065,25.657696,-10.489303,1.595000,-2.245229,0.046283,-0.092897,0.025534,-0.065304,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.929841,25.656758,-10.489962,1.595000,-2.245229,0.046283,-0.092859,0.025168,-0.064789,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.929613,25.655822,-10.490615,1.595000,-2.245229,0.046283,-0.092821,0.024803,-0.064276,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.929384,25.654888,-10.491263,1.595000,-2.245229,0.046283,-0.092782,0.024437,-0.063767,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.929152,25.653955,-10.491905,1.595000,-2.245229,0.046283,-0.092744,0.024071,-0.063262,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.928917,25.653025,-10.492543,1.595000,-2.245229,0.046283,-0.092706,0.023704,-0.062760,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.928681,25.652096,-10.493176,1.595000,-2.245229,0.046283,-0.092667,0.023337,-0.062261,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.928441,25.651170,-10.493803,1.595000,-2.245229,0.046283,-0.092629,0.022970,-0.061766,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.928200,25.650245,-10.494426,1.595000,-2.245229,0.046283,-0.092591,0.022602,-0.061274,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.927956,25.649323,-10.495043,1.595000,-2.245229,0.046283,-0.092553,0.022235,-0.060785,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.927709,25.648402,-10.495656,1.595000,-2.245229,0.046283,-0.092515,0.021866,-0.060299,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.927460,25.647483,-10.496264,1.595000,-2.245229,0.046283,-0.092476,0.021498,-0.059817,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.927208,25.646567,-10.496867,1.595000,-2.245229,0.046283,-0.092438,0.021129,-0.059338,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.926954,25.645652,-10.497465,1.595000,-2.245229,0.046283,-0.092400,0.020760,-0.058862,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.926698,25.644739,-10.498059,1.595000,-2.245229,0.046283,-0.092362,0.020391,-0.058390,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.926439,25.643828,-10.498647,1.595000,-2.245229,0.046283,-0.092324,0.020021,-0.057921,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.926177,25.642919,-10.499231,1.595000,-2.245229,0.046283,-0.092286,0.019651,-0.057454,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.925913,25.642012,-10.499810,1.595000,-2.245229,0.046283,-0.092248,0.019281,-0.056991,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.925646,25.641107,-10.500385,1.595000,-2.245229,0.046283,-0.092210,0.018911,-0.056531,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.925377,25.640204,-10.500955,1.595000,-2.245229,0.046283,-0.092172,0.018540,-0.056074,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.925105,25.639303,-10.501520,1.595000,-2.245229,0.046283,-0.092133,0.018169,-0.055621,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.924831,25.638404,-10.502081,1.595000,-2.245229,0.046283,-0.092095,0.017798,-0.055170,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.924554,25.637506,-10.502637,1.595000,-2.245229,0.046283,-0.092057,0.017426,-0.054722,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.924274,25.636611,-10.503189,1.595000,-2.245229,0.046283,-0.092019,0.017055,-0.054277,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.923992,25.635717,-10.503736,1.595000,-2.245229,0.046283,-0.091981,0.016683,-0.053836,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.923708,25.634826,-10.504279,1.595000,-2.245229,0.046283,-0.091944,0.016310,-0.053397,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.923420,25.633936,-10.504817,1.595000,-2.245229,0.046283,-0.091906,0.015938,-0.052961,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.923130,25.633049,-10.505351,1.595000,-2.245229,0.046283,-0.091868,0.015565,-0.052528,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.922838,25.632163,-10.505881,1.595000,-2.245229,0.046283,-0.091830,0.015192,-0.052098,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.922542,25.631279,-10.506406,1.595000,-2.245229,0.046283,-0.091792,0.014819,-0.051671,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.922245,25.630397,-10.506927,1.595000,-2.245229,0.046283,-0.091754,0.014445,-0.051247,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.921944,25.629517,-10.507444,1.595000,-2.245229,0.046283,-0.091716,0.014072,-0.050825,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.921641,25.628640,-10.507956,1.595000,-2.245229,0.046283,-0.091678,0.013698,-0.050407,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.921335,25.627763,-10.508464,1.595000,-2.245229,0.046283,-0.091640,0.013323,-0.049991,0.000000,0.000000,0.000000
-0.000000,-1.000000,0.000000,-1.563496,-1.578097,-0.360765,0.222750,0.222750,-1.000000,-1.000000,0.000000,-1.000000,-10.921027,25.626889,-10.508968,1.595000,-2.245229,0.046283,-0.091603,0.012949,-0.049578,0.000000,0.000000,0.000000
