x,y,psi,r,u,v,X,Y,N,tau_cmd_surge,tau_cmd_sway,tau_cmd_yaw,alpha_VSP2,omega_VSP1,omega_VSP2,alpha_VSP1,u_BT,u_VSP1,u_VSP2,ArrowDo,ArrowLeft,ArrowRig,ArrowUP,Circle,L1,L2,L2_discret,L3,PosXLeft,PosXRight,PosYLeft,PosYRight,R1,R2,R2_discret,R3,Select,Square,Start,Triangle,X_1,eta_hat_x,eta_hat_y,eta_hat_psi,eta_m_psi,eta_m_x,eta_m_y
479.539158,-180.805859,13.023526,0.104290,0.202391,-0.134213,0.991980,-0.277971,0.072613,1.000000,-0.309305,0.000000,-0.141361,0.300000,0.300000,-0.139736,-0.063837,0.493086,0.487457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-0.309305,0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.506397,-0.130865,0.011741,0.226262,0.477267,-0.179955
481.815976,-181.658143,13.083377,0.104628,0.202707,-0.134688,0.991980,-0.277971,0.072613,1.000000,-0.309305,0.000000,-0.141361,0.300000,0.300000,-0.139736,-0.063837,0.493086,0.487457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-0.319620,0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.508783,-0.131427,0.011774,0.227303,0.479539,-0.180806
484.097837,-182.511962,13.143422,0.104968,0.203021,-0.135164,0.991980,-0.277971,0.072613,1.000000,-0.319620,0.000000,-0.146038,0.300000,0.300000,-0.144306,-0.065966,0.493504,0.487691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-0.309305,0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.511175,-0.131990,0.011806,0.228348,0.481816,-0.181658
486.384735,-183.367313,13.203661,0.105309,0.203334,-0.135642,0.991980,-0.277971,0.072613,1.000000,-0.309305,0.000000,-0.141361,0.300000,0.300000,-0.139736,-0.063837,0.493086,0.487457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-0.309305,0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.513572,-0.132554,0.011838,0.229396,0.484098,-0.182512
488.676665,-184.224192,13.264097,0.105651,0.203646,-0.136120,0.988317,-0.285787,0.076390,1.000000,-0.309305,0.000000,-0.141361,0.300000,0.300000,-0.139736,-0.063837,0.493086,0.487457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-0.319620,0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.515975,-0.133118,0.011870,0.230447,0.486385,-0.183367
490.973617,-185.082615,13.324733,0.106009,0.203953,-0.136603,0.991980,-0.277971,0.072613,1.000000,-0.319620,0.000000,-0.146038,0.300000,0.300000,-0.144306,-0.065966,0.493504,0.487691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-0.319620,0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.518382,-0.133684,0.011902,0.231502,0.488677,-0.184224
493.275585,-185.942577,13.385570,0.106353,0.204262,-0.137083,0.991980,-0.277971,0.072613,1.000000,-0.319620,0.000000,-0.146038,0.300000,0.300000,-0.144306,-0.065966,0.493504,0.487691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-0.319620,0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.520795,-0.134250,0.011934,0.232560,0.490974,-0.185083
495.582571,-186.804056,13.446605,0.106700,0.204568,-0.137565,0.988317,-0.285787,0.076390,1.000000,-0.319620,0.000000,-0.146038,0.300000,0.300000,-0.144306,-0.065966,0.493504,0.487691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-0.319620,0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.523214,-0.134818,0.011966,0.233622,0.493276,-0.185943
497.894564,-187.667067,13.507843,0.107062,0.204871,-0.138051,0.988317,-0.285787,0.076390,1.000000,-0.319620,0.000000,-0.146038,0.300000,0.300000,-0.144306,-0.065966,0.493504,0.487691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-0.319620,0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.525637,-0.135386,0.011998,0.234688,0.495583,-0.186804
500.211551,-188.531627,13.569289,0.107425,0.205171,-0.138538,0.988317,-0.285787,0.076390,1.000000,-0.319620,0.000000,-0.146038,0.300000,0.300000,-0.144306,-0.065966,0.493504,0.487691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,-0.319620,0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.528066,-0.135955,0.012030,0.235756,0.497895,-0.187667
